congress,chamber,bioguide_id,committee_code,rank,role
118,H,C001132,VR10,5,
118,H,G000574,AS,5,
118,H,G000574,II,5,
118,H,G000574,AS25,3,
118,H,G000574,AS26,1,
118,H,G000574,II13,9,
118,H,G000574,II15,3,
118,H,G000574,II24,3,
118,H,S001211,FA,15,
118,H,S001211,PW,14,
118,H,S001211,FA07,2,
118,H,S001211,PW02,11,
118,H,S001211,PW05,6,
118,H,S001211,PW12,13,
118,H,B001302,GO,11,
118,H,B001302,JU,3,
118,H,B001302,GO06,6,
118,H,B001302,GO24,4,
118,H,B001302,JU01,2,
118,H,B001302,JU08,1,Chairman
118,H,C001133,AP,33,
118,H,C001133,VR,11,
118,H,C001133,AP04,6,
118,H,C001133,AP07,9,
118,H,C001133,AP20,8,
118,H,C001133,VR09,3,
118,H,C001133,VR10,4,
118,H,G000551,ED,2,
118,H,G000551,II,1,
118,H,G000551,ED13,7,
118,H,G000551,ED14,2,
118,H,G000551,II06,8,
118,H,L000589,IF,15,
118,H,L000589,VC,4,
118,H,L000589,IF02,6,Vice Chair
118,H,L000589,IF03,10,
118,H,L000589,IF17,6,
118,H,G000565,GO,4,
118,H,G000565,II,5,
118,H,G000565,GO06,2,
118,H,G000565,GO27,2,
118,H,G000565,II06,4,
118,H,G000565,II15,1,Chairman
118,H,L000578,AG,6,
118,H,L000578,II,8,
118,H,L000578,PW,10,
118,H,L000578,AG15,1,Chairman
118,H,L000578,AG16,3,
118,H,L000578,II13,6,
118,H,L000578,II24,3,
118,H,L000578,PW02,6,
118,H,L000578,PW12,5,
118,H,L000578,PW14,5,
118,H,H001068,II,4,
118,H,H001068,PW,9,
118,H,H001068,II06,2,
118,H,H001068,II13,1,
118,H,H001068,PW02,4,
118,H,H001068,PW12,2,
118,H,H001068,PW13,7,
118,H,H001068,PW14,11,
118,H,K000401,ED,18,
118,H,K000401,JU,17,
118,H,K000401,PW,34,
118,H,K000401,ED10,1,Chair
118,H,K000401,ED14,7,
118,H,K000401,JU03,7,
118,H,K000401,JU08,5,
118,H,K000401,JU10,4,
118,H,K000401,PW02,18,
118,H,K000401,PW05,20,
118,H,K000401,PW12,25,
118,H,T000460,WM,3,
118,H,T000460,WM02,2,
118,H,T000460,WM05,1,
118,H,M001177,BU,3,
118,H,M001177,II,4,
118,H,M001177,JU,4,
118,H,M001177,II10,3,
118,H,M001177,II13,3,
118,H,M001177,JU01,1,Chairman
118,H,M001177,JU10,2,
118,H,B001287,FA,5,
118,H,B001287,IG,6,
118,H,B001287,VC,6,
118,H,B001287,FA05,1,
118,H,B001287,FA06,2,
118,H,B001287,IG02,3,
118,H,B001287,IG06,2,
118,H,M001163,IF,5,
118,H,M001163,IF03,4,
118,H,M001163,IF16,1,
118,H,G000559,AS,3,
118,H,G000559,FD,6,
118,H,G000559,PW,5,
118,H,G000559,AS03,1,
118,H,G000559,AS28,2,
118,H,G000559,AS29,2,
118,H,G000559,PW02,2,
118,H,G000559,PW07,2,
118,H,G000559,PW12,18,
118,H,G000559,PW13,6,
118,H,H001090,AP,22,
118,H,H001090,AP06,4,
118,H,H001090,AP07,7,
118,H,D000623,ED,9,
118,H,D000623,PW,12,
118,H,D000623,SO,3,
118,H,D000623,ED02,1,
118,H,D000623,ED14,7,
118,H,D000623,PW02,10,
118,H,D000623,PW05,5,
118,H,D000623,PW12,22,
118,H,D000623,PW14,5,
118,H,P000197,,,
118,H,L000551,AP,5,
118,H,L000551,BU,6,
118,H,L000551,AP01,5,
118,H,L000551,AP04,1,
118,H,L000551,AP07,3,
118,H,D000633,AG,24,
118,H,D000633,II,24,
118,H,D000633,PW,31,
118,H,D000633,AG14,7,
118,H,D000633,AG15,4,
118,H,D000633,AG16,12,
118,H,D000633,II06,14,
118,H,D000633,II13,13,
118,H,D000633,PW02,16,
118,H,D000633,PW12,22,
118,H,D000633,PW14,16,
118,H,S001193,HM,2,
118,H,S001193,JU,5,
118,H,S001193,HM08,1,
118,H,S001193,JU01,6,
118,H,S001193,JU05,3,
118,H,S001193,JU13,1,
118,H,M001225,II,13,
118,H,M001225,SY,9,
118,H,M001225,II06,3,
118,H,M001225,II13,5,
118,H,M001225,SY15,3,
118,H,M001225,SY21,2,
118,H,E000215,IF,2,
118,H,E000215,IF14,1,
118,H,E000215,IF16,5,
118,H,K000389,AS,8,
118,H,K000389,GO,6,
118,H,K000389,ZS,5,
118,H,K000389,AS29,5,
118,H,K000389,AS35,1,
118,H,K000389,GO05,6,
118,H,K000389,GO12,2,
118,H,L000397,JU,2,
118,H,L000397,SY,1,
118,H,L000397,JU01,2,
118,H,L000397,JU03,5,
118,H,L000397,JU05,9,
118,H,P000613,AS,26,
118,H,P000613,BU,8,
118,H,P000613,WM,16,
118,H,P000613,AS26,7,
118,H,P000613,AS28,8,
118,H,P000613,WM04,3,
118,H,F000480,PW,35,
118,H,F000480,SY,21,
118,H,F000480,PW05,21,
118,H,F000480,PW14,17,
118,H,F000480,SY18,5,
118,H,F000480,SY21,5,
118,H,C001059,AG,2,
118,H,C001059,FA,20,
118,H,C001059,AG22,3,
118,H,C001059,AG29,1,
118,H,C001059,FA14,4,
118,H,V000129,AP,14,
118,H,V000129,BU,14,
118,H,V000129,JL,2,
118,H,V000129,AP01,2,
118,H,V000129,AP18,2,
118,H,V000129,AP20,5,
118,H,V000129,AP24,1,Chair
118,H,O000019,IF,27,
118,H,O000019,SY,9,
118,H,O000019,IF14,16,
118,H,O000019,IF16,15,
118,H,O000019,IF17,10,
118,H,O000019,SY21,1,Chairman
118,H,C001112,AG,22,
118,H,C001112,AS,7,
118,H,C001112,PW,13,
118,H,C001112,AG16,7,
118,H,C001112,AS25,4,
118,H,C001112,AS29,4,
118,H,C001112,PW05,14,
118,H,C001112,PW07,1,
118,H,C001112,PW12,20,
118,H,R000599,IF,11,
118,H,R000599,VC,1,
118,H,R000599,IF02,5,
118,H,R000599,IF14,4,
118,H,R000599,IF18,6,
118,H,B001285,PW,10,
118,H,B001285,VR,2,
118,H,B001285,PW02,9,
118,H,B001285,PW05,4,
118,H,B001285,PW12,12,
118,H,B001285,VR03,1,
118,H,G000061,AP,20,
118,H,G000061,IG,12,
118,H,G000061,SY,7,
118,H,G000061,AP02,8,
118,H,G000061,AP10,6,
118,H,G000061,AP19,5,
118,H,G000061,IG02,5,
118,H,G000061,IG04,5,
118,H,G000061,SY16,4,
118,H,C001080,SM,9,
118,H,C001080,WM,10,
118,H,C001080,SM22,5,
118,H,C001080,SM23,3,
118,H,C001080,SM27,3,
118,H,C001080,WM02,5,
118,H,C001080,WM03,2,
118,H,C001080,WM06,2,
118,H,C001097,IF,10,
118,H,C001097,IF03,11,
118,H,C001097,IF14,3,
118,H,C001097,IF16,6,
118,H,N000179,II,2,
118,H,N000179,PW,3,
118,H,N000179,II06,9,
118,H,N000179,II13,2,
118,H,N000179,PW02,1,
118,H,N000179,PW12,9,
118,H,N000179,PW13,5,
118,H,N000179,PW14,8,
118,H,S000344,BA,3,
118,H,S000344,FA,2,
118,H,S000344,BA16,1,
118,H,S000344,BA20,3,
118,H,S000344,BA21,5,
118,H,S000344,FA05,2,
118,H,S000344,FA13,2,
118,H,A000371,AP,16,
118,H,A000371,AP02,6,
118,H,A000371,AP20,4,
118,H,G000585,IG,9,
118,H,G000585,WM,17,
118,H,G000585,IG02,4,
118,H,G000585,IG09,1,
118,H,G000585,WM03,5,
118,H,G000585,WM05,7,
118,H,T000474,AP,19,
118,H,T000474,HA,4,
118,H,T000474,AP04,4,
118,H,T000474,AP20,3,
118,H,T000474,AP23,5,
118,H,T000474,HA06,1,
118,H,T000474,HA08,2,
118,H,L000582,FA,8,
118,H,L000582,JU,6,
118,H,L000582,JU03,2,
118,H,L000582,JU05,4,
118,H,K000400,FA,19,
118,H,K000400,II,15,
118,H,K000400,FA07,4,
118,H,K000400,II06,4,
118,H,K000400,II10,3,
118,H,S001156,FD,3,
118,H,S001156,WM,7,
118,H,S001156,WM04,6,
118,H,S001156,WM06,1,
118,H,T000472,ED,7,
118,H,T000472,VR,1,
118,H,T000472,ED10,4,
118,H,T000472,ED13,2,
118,H,K000397,BA,20,
118,H,K000397,FA,12,
118,H,K000397,BA10,6,Vice Chairman
118,H,K000397,BA20,10,
118,H,K000397,FA05,1,Chair
118,H,K000397,FA16,3,
118,H,C000059,AP,7,
118,H,C000059,AP02,1,Chair
118,H,C000059,AP10,3,
118,H,G000598,GO,13,
118,H,G000598,HM,9,
118,H,G000598,VC,5,
118,H,G000598,GO06,1,
118,H,G000598,GO24,7,
118,H,G000598,HM07,2,
118,H,G000598,HM11,2,
118,H,W000187,BA,1,
118,H,B001300,IF,17,
118,H,B001300,IF14,8,
118,H,B001300,IF18,8,
118,H,S001135,ED,15,
118,H,S001135,WM,21,
118,H,S001135,ZS,10,
118,H,S001135,ED02,8,
118,H,S001135,ED14,6,
118,H,S001135,WM02,11,
118,H,S001135,WM03,5,
118,H,C001110,HM,3,
118,H,C001110,JU,8,
118,H,C001110,ZT,2,
118,H,C001110,HM05,2,
118,H,C001110,HM11,1,
118,H,C001110,JU01,3,
118,H,C001110,JU05,1,
118,H,P000618,EC,10,
118,H,P000618,GO,9,
118,H,P000618,II,8,
118,H,P000618,GO06,5,
118,H,P000618,GO27,1,
118,H,P000618,II10,2,
118,H,P000618,II13,11,
118,H,I000056,FA,5,
118,H,I000056,FD,2,
118,H,I000056,JU,2,
118,H,I000056,SY,11,
118,H,I000056,FA14,3,
118,H,I000056,FA17,3,
118,H,I000056,JU03,1,Chairman
118,H,I000056,JU05,2,
118,H,I000056,SY15,3,
118,H,I000056,SY16,5,
118,H,L000593,II,7,
118,H,L000593,VR,3,
118,H,L000593,II10,5,
118,H,L000593,II13,3,
118,H,L000593,VR03,2,
118,H,L000593,VR10,1,
118,H,P000608,BU,5,
118,H,P000608,IF,12,
118,H,P000608,IF02,6,
118,H,P000608,IF03,2,
118,H,P000608,IF18,7,
118,H,J000305,AS,15,
118,H,J000305,FA,12,
118,H,J000305,AS26,4,
118,H,J000305,AS28,5,
118,H,J000305,FA06,3,
118,H,J000305,FA16,1,
118,H,V000130,BA,12,
118,H,V000130,BA10,6,
118,H,V000130,BA16,4,
118,H,V000130,BA20,8,
118,H,D000197,IF,3,
118,H,D000197,IF02,2,
118,H,D000197,IF03,1,
118,H,D000197,IF18,2,
118,H,N000191,II,6,
118,H,N000191,JU,10,
118,H,N000191,RU,3,
118,H,N000191,II10,1,
118,H,N000191,II13,10,
118,H,N000191,JU03,3,
118,H,N000191,JU05,7,
118,H,N000191,RU02,2,
118,H,B000825,GO,21,
118,H,B000825,II,17,
118,H,B000825,GO05,5,
118,H,B000825,GO24,9,
118,H,B000825,II06,11,
118,H,B000825,II13,10,
118,H,L000604,BU,21,
118,H,L000604,SY,22,
118,H,L000564,AS,4,
118,H,L000564,II,2,
118,H,L000564,AS25,3,
118,H,L000564,AS29,1,Chairman
118,H,L000564,II06,2,
118,H,L000564,II10,2,
118,H,C001121,FA,21,
118,H,C001121,IG,5,
118,H,C001121,ZT,1,
118,H,C001121,FA17,1,
118,H,C001121,IG01,4,
118,H,C001121,IG04,2,
118,H,P000620,BA,22,
118,H,P000620,BA04,9,
118,H,P000620,BA10,4,
118,H,C001134,AG,10,
118,H,C001134,SY,13,
118,H,C001134,AG03,10,
118,H,C001134,AG22,1,
118,H,C001134,AG29,4,
118,H,C001134,SY16,3,
118,H,L000557,WM,4,
118,H,L000557,WM01,1,
118,H,L000557,WM05,3,
118,H,C001069,AS,2,
118,H,C001069,ED,3,
118,H,C001069,AS25,2,
118,H,C001069,AS28,1,
118,H,C001069,ED02,2,
118,H,C001069,ED13,8,
118,H,D000216,AP,1,
118,H,D000216,AP07,1,
118,H,H001047,BA,9,
118,H,H001047,IG,1,
118,H,H001081,AG,6,
118,H,H001081,ED,14,
118,H,H001081,AG03,1,
118,H,H001081,AG29,3,
118,H,H001081,ED02,8,
118,H,H001081,ED14,4,
118,H,N000147,GO,2,
118,H,N000147,PW,2,
118,H,N000147,GO05,4,
118,H,N000147,GO24,2,
118,H,N000147,GO27,6,
118,H,N000147,PW02,15,
118,H,N000147,PW05,16,
118,H,N000147,PW12,1,
118,H,N000147,PW13,2,
118,H,B001303,IF,18,
118,H,B001303,IF03,12,
118,H,B001303,IF14,9,
118,H,B001303,IF17,5,
118,H,D000628,IF,13,
118,H,D000628,ZS,7,
118,H,D000628,IF14,9,
118,H,D000628,IF16,5,
118,H,D000628,IF17,5,
118,H,C001039,AG,17,
118,H,C001039,FD,7,
118,H,C001039,IF,26,
118,H,C001039,AG14,5,
118,H,C001039,IF02,8,
118,H,C001039,IF16,14,
118,H,C001039,IF17,9,
118,H,B001314,ED,19,
118,H,B001314,PW,32,
118,H,B001314,SM,12,
118,H,B001314,ED02,9,
118,H,B001314,ED14,1,Chair
118,H,B001314,PW05,19,
118,H,B001314,PW07,7,
118,H,B001314,PW12,23,
118,H,B001314,SM23,5,
118,H,B001314,SM24,4,
118,H,R000609,AP,17,
118,H,R000609,SO,3,
118,H,R000609,AP15,2,
118,H,R000609,AP18,3,
118,H,R000609,AP20,3,
118,H,W000823,AS,14,
118,H,W000823,FA,19,
118,H,W000823,GO,26,
118,H,W000823,IG,11,
118,H,W000823,ZT,5,
118,H,W000823,AS02,4,
118,H,W000823,AS03,1,Chairman
118,H,W000823,AS29,8,
118,H,W000823,FA05,7,
118,H,W000823,FA17,6,
118,H,W000823,GO05,9,
118,H,W000823,IG01,6,
118,H,W000823,IG02,4,
118,H,M001216,AS,27,
118,H,M001216,FA,22,
118,H,M001216,AS02,8,
118,H,M001216,AS26,8,
118,H,M001216,FA16,6,
118,H,M001216,FA17,7,
118,H,P000599,BA,4,
118,H,P000599,SY,2,
118,H,P000599,BA04,2,
118,H,P000599,BA20,2,
118,H,P000599,SY16,2,
118,H,P000599,SY18,2,
118,H,S001200,AG,24,
118,H,S001200,IF,19,
118,H,S001200,AG29,7,
118,H,S001200,IF16,4,
118,H,S001200,IF17,6,
118,H,F000476,GO,14,
118,H,F000476,SY,12,
118,H,F000476,GO06,7,
118,H,F000476,GO24,3,
118,H,F000476,SY18,3,
118,H,W000806,II,9,
118,H,W000806,PW,3,
118,H,W000806,SY,6,
118,H,W000806,II06,6,
118,H,W000806,II13,7,
118,H,W000806,PW02,2,
118,H,W000806,PW07,1,Chairman
118,H,W000806,PW12,2,
118,H,W000806,SY16,3,
118,H,B001257,IF,6,
118,H,B001257,IF14,5,
118,H,B001257,IF16,2,
118,H,B001257,IF17,1,Chairman
118,H,L000596,GO,23,
118,H,L000596,II,23,
118,H,L000596,GO05,7,
118,H,L000596,GO12,5,
118,H,L000596,GO27,6,
118,H,L000596,II13,12,
118,H,L000596,II15,5,
118,H,C001066,IF,6,
118,H,C001066,ZS,2,
118,H,C001066,IF02,1,
118,H,C001066,IF03,9,
118,H,C001066,IF17,2,
118,H,L000597,HA,7,
118,H,L000597,HM,14,
118,H,L000597,JU,20,
118,H,L000597,ZT,7,
118,H,L000597,HA08,1,Chair
118,H,L000597,HM07,4,
118,H,L000597,HM08,4,
118,H,L000597,JU03,9,
118,H,L000597,JU08,6,
118,H,L000597,JU13,4,
118,H,B001260,IT,2,
118,H,B001260,WM,2,
118,H,B001260,WM02,1,Chairman
118,H,B001260,WM04,2,
118,H,S001214,FD,5,
118,H,S001214,WM,17,
118,H,S001214,WM01,7,
118,H,S001214,WM04,9,
118,H,S001214,WM06,3,
118,H,F000472,AP,31,
118,H,F000472,SY,14,
118,H,F000472,VR,8,
118,H,F000472,AP01,9,
118,H,F000472,AP18,8,
118,H,F000472,AP24,5,
118,H,F000472,SY15,5,
118,H,F000472,VR09,2,
118,H,F000472,VR10,3,
118,H,D000032,BA,21,
118,H,D000032,GO,15,
118,H,D000032,BA20,11,
118,H,D000032,BA21,8,
118,H,D000032,GO05,2,
118,H,D000032,GO24,5,
118,H,C001127,FA,14,
118,H,C001127,VR,6,
118,H,C001127,FA16,2,
118,H,C001127,FA17,4,
118,H,C001127,VR03,5,
118,H,C001127,VR11,1,
118,H,M001199,FA,7,
118,H,M001199,PW,12,
118,H,M001199,FA13,2,
118,H,M001199,FA17,1,Chair
118,H,M001199,PW02,8,
118,H,M001199,PW05,6,
118,H,M001199,PW07,3,
118,H,F000462,AP,17,
118,H,F000462,AP04,3,
118,H,F000462,AP07,5,
118,H,M001217,FA,17,
118,H,M001217,GO,19,
118,H,M001217,ZT,6,
118,H,M001217,FA07,3,
118,H,M001217,GO06,4,
118,H,M001217,GO12,5,
118,H,W000808,ED,5,
118,H,W000808,PW,11,
118,H,W000808,ED13,1,
118,H,W000808,ED14,6,
118,H,W000808,PW02,5,
118,H,W000808,PW05,17,
118,H,W000808,PW14,1,
118,H,W000797,AP,8,
118,H,W000797,FD,4,
118,H,W000797,AP01,6,
118,H,W000797,AP10,2,
118,H,W000797,AP18,1,
118,H,D000600,AP,8,
118,H,D000600,AP02,6,
118,H,D000600,AP04,1,Chair
118,H,D000600,AP20,2,
118,H,S000168,FA,13,
118,H,S000168,SM,6,
118,H,S000168,FA06,2,
118,H,S000168,FA07,1,Chair
118,H,S000168,SM22,3,
118,H,S000168,SM23,2,
118,H,G000593,AS,18,
118,H,G000593,HM,6,
118,H,G000593,ZS,12,
118,H,G000593,AS03,4,
118,H,G000593,AS25,8,
118,H,G000593,HM07,1,Chairman
118,H,G000593,HM08,2,
118,H,C001103,BU,7,
118,H,C001103,IF,10,
118,H,C001103,IF14,8,
118,H,C001103,IF16,4,
118,H,C001103,IF18,1,Chairman
118,H,B000490,AG,25,
118,H,B000490,AP,4,
118,H,B000490,AG16,10,
118,H,B000490,AP01,1,
118,H,B000490,AP18,2,
118,H,B000490,AP23,4,
118,H,F000465,BU,11,
118,H,F000465,EC,4,
118,H,F000465,WM,9,
118,H,F000465,WM01,1,Chairman
118,H,F000465,WM05,4,
118,H,J000288,JU,4,
118,H,J000288,PW,6,
118,H,J000288,JU03,1,
118,H,J000288,JU05,2,
118,H,J000288,JU08,5,
118,H,J000288,PW05,2,
118,H,J000288,PW12,11,
118,H,J000288,PW14,10,
118,H,W000788,BA,20,
118,H,W000788,BA04,7,
118,H,W000788,BA09,5,
118,H,M001218,AS,28,
118,H,M001218,FA,23,
118,H,M001218,SY,17,
118,H,M001218,VC,9,
118,H,M001218,AS25,9,
118,H,M001218,AS35,8,
118,H,M001218,FA06,5,
118,H,M001218,FA13,7,
118,H,M001218,SY16,7,
118,H,M001218,SY21,4,
118,H,M001208,ED,13,
118,H,M001208,JU,11,
118,H,M001208,ED02,7,
118,H,M001208,ED13,6,
118,H,M001208,JU05,8,
118,H,M001208,JU08,1,
118,H,S001189,AG,3,Vice Chairman
118,H,S001189,AS,6,
118,H,S001189,IG,8,
118,H,S001189,RU,9,
118,H,S001189,AG03,2,
118,H,S001189,AG16,1,Chairman
118,H,S001189,AG22,3,
118,H,S001189,AS03,3,
118,H,S001189,AS26,2,
118,H,S001189,IG01,4,
118,H,S001189,IG02,2,
118,H,S001189,RU04,5,
118,H,C001116,AP,27,
118,H,C001116,AP07,7,
118,H,C001116,AP19,7,
118,H,C001116,AP24,2,
118,H,C001129,II,22,
118,H,C001129,PW,29,
118,H,C001129,SY,18,
118,H,C001129,II06,13,
118,H,C001129,II15,4,Vice Chair
118,H,C001129,PW02,14,
118,H,C001129,PW05,18,
118,H,C001129,PW12,21,
118,H,C001129,SY15,1,Chairman
118,H,C001129,SY18,4,
118,H,L000583,BA,12,
118,H,L000583,HA,2,
118,H,L000583,BA10,4,
118,H,L000583,BA20,5,Vice Chairman
118,H,L000583,HA06,1,Chairman
118,H,L000583,HA08,2,
118,H,A000372,ED,7,
118,H,A000372,IF,20,
118,H,A000372,ED02,4,
118,H,A000372,IF03,13,
118,H,A000372,IF16,9,
118,H,A000372,IF18,7,
118,H,S001157,AG,1,
118,H,S001157,BA,5,
118,H,S001157,BA16,3,
118,H,S001157,BA20,5,
118,H,G000596,GO,19,
118,H,G000596,HM,9,
118,H,G000596,VC,7,
118,H,G000596,GO12,4,
118,H,G000596,GO24,8,
118,H,G000596,HM09,2,
118,H,G000596,HM11,3,
118,H,M001219,AS,25,
118,H,M001219,FA,28,
118,H,M001219,II,20,
118,H,M001219,AS02,6,
118,H,M001219,AS03,8,
118,H,M001219,FA05,8,
118,H,M001219,II10,9,
118,H,M001219,II24,6,
118,H,C001055,AP,20,
118,H,C001055,II,18,
118,H,C001055,AP02,7,
118,H,C001055,AP15,3,
118,H,C001055,II13,12,
118,H,C001055,II15,2,
118,H,C001055,II24,5,
118,H,T000487,AG,14,
118,H,T000487,AS,21,
118,H,T000487,VC,7,
118,H,T000487,AG03,4,
118,H,T000487,AG14,6,
118,H,T000487,AG29,5,
118,H,T000487,AS02,5,
118,H,T000487,AS03,6,
118,H,M001215,IF,25,
118,H,M001215,VC,3,
118,H,M001215,VR,6,
118,H,M001215,IF14,15,
118,H,M001215,IF16,13,
118,H,M001215,IF18,11,
118,H,M001215,VR03,1,Chairwoman
118,H,H001091,AP,21,
118,H,H001091,ZS,11,
118,H,H001091,AP01,7,
118,H,H001091,AP15,5,
118,H,H001091,AP23,5,
118,H,N000193,AG,25,
118,H,N000193,BA,29,
118,H,N000193,AG16,13,
118,H,N000193,AG22,10,
118,H,N000193,BA10,7,
118,H,N000193,BA16,12,
118,H,F000446,AG,14,
118,H,F000446,WM,23,
118,H,F000446,AG29,6,
118,H,F000446,WM01,6,
118,H,F000446,WM05,10,
118,H,F000446,WM06,7,
118,H,F000469,IF,22,
118,H,F000469,II,11,
118,H,F000469,IF16,10,
118,H,F000469,IF17,7,
118,H,F000469,IF18,9,
118,H,F000469,II06,7,
118,H,F000469,II10,4,
118,H,S001148,AP,5,
118,H,S001148,AP06,1,Chairman
118,H,S001148,AP07,2,
118,H,S001148,AP10,2,
118,H,J000309,AG,19,
118,H,J000309,FA,18,
118,H,J000309,AG03,6,
118,H,J000309,AG22,7,
118,H,J000309,FA16,4,
118,H,K000385,IF,16,
118,H,K000385,IF14,7,
118,H,K000385,IF16,11,
118,H,K000385,IF17,4,
118,H,R000617,HM,10,
118,H,R000617,VR,8,
118,H,R000617,HM09,3,
118,H,R000617,HM11,3,
118,H,R000617,VR09,3,
118,H,R000617,VR10,4,
118,H,G000586,JU,18,
118,H,G000586,PW,17,
118,H,G000586,JU01,7,
118,H,G000586,JU08,6,
118,H,G000586,PW05,9,
118,H,G000586,PW12,15,
118,H,G000586,PW14,12,
118,H,Q000023,AP,11,
118,H,Q000023,AP10,4,
118,H,Q000023,AP20,1,
118,H,Q000023,AP24,3,
118,H,C001117,BA,15,
118,H,C001117,SY,17,
118,H,C001117,BA16,7,
118,H,C001117,BA20,9,
118,H,C001117,BA21,7,
118,H,D000096,WM,6,
118,H,D000096,WM02,7,
118,H,D000096,WM03,1,
118,H,K000391,GO,5,
118,H,K000391,IG,4,
118,H,K000391,ZS,1,
118,H,K000391,GO05,5,
118,H,K000391,IG01,3,
118,H,S001145,BU,2,
118,H,S001145,IF,4,
118,H,S001145,IF02,3,
118,H,S001145,IF17,1,
118,H,S001145,IF18,3,
118,H,S001190,FA,24,
118,H,S001190,WM,15,
118,H,S001190,WM04,8,
118,H,S001190,WM05,6,
118,H,F000454,BA,10,
118,H,F000454,BA10,5,
118,H,F000454,BA20,1,
118,H,F000454,BA21,2,
118,H,B001295,AG,10,
118,H,B001295,PW,9,
118,H,B001295,VR,1,Chair
118,H,B001295,AG14,3,
118,H,B001295,PW02,5,
118,H,B001295,PW12,4,
118,H,B001295,PW14,4,
118,H,B001315,AG,15,
118,H,B001315,VR,10,
118,H,B001315,AG14,4,
118,H,B001315,AG16,6,
118,H,B001315,AG22,6,
118,H,B001315,VR03,4,
118,H,U000040,AP,25,
118,H,U000040,AP01,3,
118,H,U000040,AP15,2,
118,H,M001211,AG,15,
118,H,M001211,ED,14,
118,H,M001211,AG14,4,
118,H,M001211,AG16,6,
118,H,M001211,ED10,5,
118,H,M001211,ED14,5,
118,H,L000585,IG,6,
118,H,L000585,WM,6,
118,H,L000585,ZS,6,
118,H,L000585,IG02,1,Chairman
118,H,L000585,IG06,2,
118,H,L000585,WM03,1,Chairman
118,H,L000585,WM04,3,
118,H,S001225,AG,16,
118,H,S001225,SY,6,
118,H,S001225,AG14,5,
118,H,S001225,AG16,4,
118,H,S001225,SY16,1,
118,H,S001225,SY20,4,
118,H,M001214,ED,19,
118,H,M001214,VR,5,
118,H,M001214,ED02,5,
118,H,M001214,VR08,1,
118,H,M001214,VR10,2,
118,H,Y000067,BU,18,
118,H,Y000067,PW,21,
118,H,Y000067,PW05,13,
118,H,Y000067,PW12,13,
118,H,Y000067,PW14,11,
118,H,B001299,AS,12,
118,H,B001299,ED,8,
