Input Seq 1,2022 NAICS Code,2022 NAICS Title,Related SIC Code,Related SIC Code Description,Change to 2017 Code,2017 NAICS Code,2017 NAICS Code
39,111998,All Other Miscellaneous Crop Farming ,0831,Forest Products,No Change,111998,All Other Miscellaneous Crop Farming 
40,111998,All Other Miscellaneous Crop Farming ,0919,Miscellaneous Marine Products,No Change,111998,All Other Miscellaneous Crop Farming 
41,111998,All Other Miscellaneous Crop Farming ,2099,"Food Preparations, Nec",No Change,111998,All Other Miscellaneous Crop Farming 
42,112111,Beef Cattle Ranching and Farming ,0212,"Beef Cattle, Except Feedlots",No Change,112111,Beef Cattle Ranching and Farming 
43,112111,Beef Cattle Ranching and Farming ,0241,Dairy Farms,No Change,112111,Beef Cattle Ranching and Farming 
44,112112,Cattle Feedlots ,0211,Beef Cattle Feedlots,No Change,112112,Cattle Feedlots 
45,112120,Dairy Cattle and Milk Production,0241,Dairy Farms,No Change,112120,Dairy Cattle and Milk Production
46,112130,Dual-Purpose Cattle Ranching and Farming ,Aux,,No Change,112130,Dual-Purpose Cattle Ranching and Farming 
47,112210,Hog and Pig Farming ,0213,Hogs,No Change,112210,Hog and Pig Farming 
48,112310,Chicken Egg Production ,0252,Chicken Eggs,No Change,112310,Chicken Egg Production 
49,112320,Broilers and Other Meat Type Chicken Production ,0251,"Broiler, Fryer, and Roaster Chickens",No Change,112320,Broilers and Other Meat Type Chicken Production 
50,112330,Turkey Production,0253,Turkeys and Turkey Eggs,No Change,112330,Turkey Production
51,112340,Poultry Hatcheries,0254,Poultry Hatcheries,No Change,112340,Poultry Hatcheries
52,112390,Other Poultry Production ,0259,"Poultry and Eggs, Nec",No Change,112390,Other Poultry Production 
53,112410,Sheep Farming,0214,Sheep and Goats,No Change,112410,Sheep Farming
54,112420,Goat Farming,0214,Sheep and Goats,No Change,112420,Goat Farming
55,112511,Finfish Farming and Fish Hatcheries ,0273,Animal Aquaculture,No Change,112511,Finfish Farming and Fish Hatcheries 
56,112511,Finfish Farming and Fish Hatcheries ,0921,Fish Hatcheries and Preserves,No Change,112511,Finfish Farming and Fish Hatcheries 
57,112512,Shellfish Farming ,0273,Animal Aquaculture,No Change,112512,Shellfish Farming 
58,112512,Shellfish Farming ,0919,Miscellaneous Marine Products,No Change,112512,Shellfish Farming 
59,112512,Shellfish Farming ,0921,Fish Hatcheries and Preserves,No Change,112512,Shellfish Farming 
60,112519,Other Aquaculture ,0139,"Field Crops, Except Cash Grain",No Change,112519,Other Aquaculture 
61,112519,Other Aquaculture ,0191,"General Farms, Primarily Crop",No Change,112519,Other Aquaculture 
62,112519,Other Aquaculture ,0273,Animal Aquaculture,No Change,112519,Other Aquaculture 
63,112519,Other Aquaculture ,0279,"Animal Specialties, Nec",No Change,112519,Other Aquaculture 
64,112519,Other Aquaculture ,0831,Forest Products,No Change,112519,Other Aquaculture 
65,112519,Other Aquaculture ,0919,Miscellaneous Marine Products,No Change,112519,Other Aquaculture 
66,112519,Other Aquaculture ,2099,"Food Preparations, Nec",No Change,112519,Other Aquaculture 
67,112910,Apiculture,0279,"Animal Specialties, Nec",No Change,112910,Apiculture
68,112920,Horses and Other Equine Production,0272,Horses and Other Equines,No Change,112920,Horses and Other Equine Production
69,112930,Fur-Bearing Animal and Rabbit Production,0271,Fur-bearing Animals and Rabbits,No Change,112930,Fur-Bearing Animal and Rabbit Production
70,112990,All Other Animal Production ,0219,"General Livestock, Nec",No Change,112990,All Other Animal Production 
71,112990,All Other Animal Production ,0279,"Animal Specialties, Nec",No Change,112990,All Other Animal Production 
72,112990,All Other Animal Production ,0291,"General Farms, Primarily animals",No Change,112990,All Other Animal Production 
73,113110,Timber Tract Operations,0811,Timber Tracts,No Change,113110,Timber Tract Operations
74,113210,Forest Nurseries and Gathering of Forest Products ,0831,Forest Products,No Change,113210,Forest Nurseries and Gathering of Forest Products 
75,113310,Logging ,2411,Logging,No Change,113310,Logging 
76,114111,Finfish Fishing ,0912,Finfish,No Change,114111,Finfish Fishing 
77,114112,Shellfish Fishing ,0913,Shellfish,No Change,114112,Shellfish Fishing 
78,114112,Shellfish Fishing ,0919,Miscellaneous Marine Products,No Change,114112,Shellfish Fishing 
79,114119,Other Marine Fishing ,0919,Miscellaneous Marine Products,No Change,114119,Other Marine Fishing 
80,114210,Hunting and Trapping,0971,"Hunting, Trapping, Game Propagation",No Change,114210,Hunting and Trapping
81,115111,Cotton Ginning ,0724,Cotton Ginning,No Change,115111,Cotton Ginning 
82,115112,"Soil Preparation, Planting, and Cultivating ",0711,Soil Preparation Services,No Change,115112,"Soil Preparation, Planting, and Cultivating "
83,115112,"Soil Preparation, Planting, and Cultivating ",0721,Crop Planting and Protection,No Change,115112,"Soil Preparation, Planting, and Cultivating "
84,115113,"Crop Harvesting, Primarily by Machine ",0722,Crop Harvesting,No Change,115113,"Crop Harvesting, Primarily by Machine "
85,115114,Postharvest Crop Activities (except Cotton Ginning) ,0723,Crop Preparation Services For Market,No Change,115114,Postharvest Crop Activities (except Cotton Ginning) 
86,115115,Farm Labor Contractors and Crew Leaders ,0761,Farm Labor Contractors,No Change,115115,Farm Labor Contractors and Crew Leaders 
87,115116,Farm Management Services ,0762,Farm Management Services,No Change,115116,Farm Management Services 
88,115210,Support Activities for Animal Production,0751,"Livestock Services, Except Veterinary",No Change,115210,Support Activities for Animal Production
89,115210,Support Activities for Animal Production,0752,Animal Specialty Services,No Change,115210,Support Activities for Animal Production
90,115210,Support Activities for Animal Production,7699,"Repair Services, Nec",No Change,115210,Support Activities for Animal Production
91,115310,Support Activities for Forestry,0851,Forestry Services,No Change,115310,Support Activities for Forestry
92,211120,Crude Petroleum Extraction ,1311,Crude Petroleum and Natural Gas,No Change,211120,Crude Petroleum Extraction 
93,211130,Natural Gas Extraction ,1321,Natural Gas Liquids,No Change,211130,Natural Gas Extraction 
94,211130,Natural Gas Extraction ,2819,"Industrial Inorganic Chemicals, Nec",No Change,211130,Natural Gas Extraction 
95,212114,Surface Coal Mining ,1221,Bituminous Coal and Lignite-surface Mining,New NAICS Code,212111,Bituminous Coal and Lignite Surface Mining 
96,212114,Surface Coal Mining ,1231,Anthracite Mining,New NAICS Code,212113,Anthracite Mining 
97,212115,Underground Coal Mining ,1222,Bituminous Coal-underground Mining,New NAICS Code,212112,Bituminous Coal Underground Mining 
98,212115,Underground Coal Mining ,1231,Anthracite Mining,New NAICS Code,212113,Anthracite Mining 
99,212210,Iron Ore Mining,1011,Iron Ores,No Change,212210,Iron Ore Mining
100,212220,Gold Ore and Silver Ore Mining ,1041,Gold Ores,New NAICS Code,212221,Gold Ore Mining 
101,212220,Gold Ore and Silver Ore Mining ,1044,Silver Ores,New NAICS Code,212222,Silver Ore Mining 
102,212230,"Copper, Nickel, Lead, and Zinc Mining ",1021,Copper Ores,No Change,212230,"Copper, Nickel, Lead, and Zinc Mining"
103,212230,"Copper, Nickel, Lead, and Zinc Mining ",1031,Lead and Zinc Ores,No Change,212230,"Copper, Nickel, Lead, and Zinc Mining"
104,212230,"Copper, Nickel, Lead, and Zinc Mining ",1061,"Ferroalloy Ores, Except Vanadium",No Change,212230,"Copper, Nickel, Lead, and Zinc Mining"
105,212290,Other Metal Ore Mining ,1061,"Ferroalloy Ores, Except Vanadium",New NAICS Code,212299,All Other Metal Ore Mining 
106,212290,Other Metal Ore Mining ,1099,"Metal Ores, Nec",New NAICS Code,212299,All Other Metal Ore Mining 
107,212290,Other Metal Ore Mining ,1094,Uranium-radium-vanadium Ores,New NAICS Code,212291,Uranium-Radium-Vanadium Ore Mining 
108,212311,Dimension Stone Mining and Quarrying ,1411,Dimension Stone,No Change,212311,Dimension Stone Mining and Quarrying 
109,212312,Crushed and Broken Limestone Mining and Quarrying ,1422,Crushed and Broken Limestone,No Change,212312,Crushed and Broken Limestone Mining and Quarrying 
110,212313,Crushed and Broken Granite Mining and Quarrying ,1423,Crushed and Broken Granite,No Change,212313,Crushed and Broken Granite Mining and Quarrying 
111,212319,Other Crushed and Broken Stone Mining and Quarrying ,1429,"Crushed and Broken Stone, Nec",No Change,212319,Other Crushed and Broken Stone Mining and Quarrying 
112,212319,Other Crushed and Broken Stone Mining and Quarrying ,1499,Miscellaneous Nonmetallic Mining,No Change,212319,Other Crushed and Broken Stone Mining and Quarrying 
113,212321,Construction Sand and Gravel Mining ,1442,Construction Sand and Gravel,No Change,212321,Construction Sand and Gravel Mining 
114,212322,Industrial Sand Mining ,1446,Industrial Sand,No Change,212322,Industrial Sand Mining 
115,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining ",1455,Kaolin and Ball Clay,New NAICS Code,212324,Kaolin and Ball Clay Mining 
116,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining ",3295,"Minerals, Ground or Treated",New NAICS Code,212324,Kaolin and Ball Clay Mining 
117,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining ",1459,"Clay and Related Minerals, Nec",New NAICS Code,212325,Clay and Ceramic and Refractory Minerals Mining 
118,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining ",3295,"Minerals, Ground or Treated",New NAICS Code,212325,Clay and Ceramic and Refractory Minerals Mining 
119,212390,Other Nonmetallic Mineral Mining and Quarrying ,1499,Miscellaneous Nonmetallic Mining,New NAICS Code,212399,All Other Nonmetallic Mineral Mining 
120,212390,Other Nonmetallic Mineral Mining and Quarrying ,3295,"Minerals, Ground or Treated",New NAICS Code,212399,All Other Nonmetallic Mineral Mining 
121,212390,Other Nonmetallic Mineral Mining and Quarrying ,1474,"Potash, Soda, and Borate Minerals",New NAICS Code,212391,"Potash, Soda, and Borate Mineral Mining "
122,212390,Other Nonmetallic Mineral Mining and Quarrying ,1475,Phosphate Rock,New NAICS Code,212392,Phosphate Rock Mining 
123,212390,Other Nonmetallic Mineral Mining and Quarrying ,1479,Chemical and Fertilizer Mining,New NAICS Code,212393,Other Chemical and Fertilizer Mineral Mining 
124,212390,Other Nonmetallic Mineral Mining and Quarrying ,3295,"Minerals, Ground or Treated",New NAICS Code,212393,Other Chemical and Fertilizer Mineral Mining 
125,213111,Drilling Oil and Gas Wells,1381,Drilling Oil and Gas Wells,No Change,213111,Drilling Oil and Gas Wells
126,213112,Support Activities for Oil and Gas Operations ,1382,Oil and Gas Exploration Services,No Change,213112,Support Activities for Oil and Gas Operations 
127,213112,Support Activities for Oil and Gas Operations ,1389,"Oil and Gas Field Services, Nec",No Change,213112,Support Activities for Oil and Gas Operations 
128,213113,Support Activities for Coal Mining ,1241,Coal Mining Services,No Change,213113,Support Activities for Coal Mining 
129,213114,Support Activities for Metal Mining ,1081,Metal Mining Services,No Change,213114,Support Activities for Metal Mining 
130,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,1481,"Nonmetallic Minerals Services, Except Fuels",No Change,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining 
131,221111,Hydroelectric Power Generation ,4911,Electric Services,No Change,221111,Hydroelectric Power Generation 
132,221111,Hydroelectric Power Generation ,4931,Electric and Other Services Combined,No Change,221111,Hydroelectric Power Generation 
133,221111,Hydroelectric Power Generation ,4939,"Combination Utilities, Nec",No Change,221111,Hydroelectric Power Generation 
134,221112,Fossil Fuel Electric Power Generation ,4911,Electric Services,No Change,221112,Fossil Fuel Electric Power Generation 
135,221112,Fossil Fuel Electric Power Generation ,4931,Electric and Other Services Combined,No Change,221112,Fossil Fuel Electric Power Generation 
136,221112,Fossil Fuel Electric Power Generation ,4939,"Combination Utilities, Nec",No Change,221112,Fossil Fuel Electric Power Generation 
137,221113,Nuclear Electric Power Generation ,4911,Electric Services,No Change,221113,Nuclear Electric Power Generation 
138,221113,Nuclear Electric Power Generation ,4931,Electric and Other Services Combined,No Change,221113,Nuclear Electric Power Generation 
139,221113,Nuclear Electric Power Generation ,4939,"Combination Utilities, Nec",No Change,221113,Nuclear Electric Power Generation 
140,221114,Solar Electric Power Generation ,4911,Electric Services,No Change,221114,Solar Electric Power Generation 
141,221114,Solar Electric Power Generation ,4931,Electric and Other Services Combined,No Change,221114,Solar Electric Power Generation 
142,221114,Solar Electric Power Generation ,4939,"Combination Utilities, Nec",No Change,221114,Solar Electric Power Generation 
143,221115,Wind Electric Power Generation ,4911,Electric Services,No Change,221115,Wind Electric Power Generation 
144,221115,Wind Electric Power Generation ,4931,Electric and Other Services Combined,No Change,221115,Wind Electric Power Generation 
145,221115,Wind Electric Power Generation ,4939,"Combination Utilities, Nec",No Change,221115,Wind Electric Power Generation 
146,221116,Geothermal Electric Power Generation ,4911,Electric Services,No Change,221116,Geothermal Electric Power Generation 
147,221116,Geothermal Electric Power Generation ,4931,Electric and Other Services Combined,No Change,221116,Geothermal Electric Power Generation 
148,221116,Geothermal Electric Power Generation ,4939,"Combination Utilities, Nec",No Change,221116,Geothermal Electric Power Generation 
149,221117,Biomass Electric Power Generation ,4911,Electric Services,No Change,221117,Biomass Electric Power Generation 
150,221117,Biomass Electric Power Generation ,4931,Electric and Other Services Combined,No Change,221117,Biomass Electric Power Generation 
151,221117,Biomass Electric Power Generation ,4939,"Combination Utilities, Nec",No Change,221117,Biomass Electric Power Generation 
152,221118,Other Electric Power Generation ,4911,Electric Services,No Change,221118,Other Electric Power Generation 
153,221118,Other Electric Power Generation ,4931,Electric and Other Services Combined,No Change,221118,Other Electric Power Generation 
154,221118,Other Electric Power Generation ,4939,"Combination Utilities, Nec",No Change,221118,Other Electric Power Generation 
155,221121,Electric Bulk Power Transmission and Control ,4911,Electric Services,No Change,221121,Electric Bulk Power Transmission and Control 
156,221121,Electric Bulk Power Transmission and Control ,4931,Electric and Other Services Combined,No Change,221121,Electric Bulk Power Transmission and Control 
157,221121,Electric Bulk Power Transmission and Control ,4939,"Combination Utilities, Nec",No Change,221121,Electric Bulk Power Transmission and Control 
158,221122,Electric Power Distribution ,4911,Electric Services,No Change,221122,Electric Power Distribution 
159,221122,Electric Power Distribution ,4931,Electric and Other Services Combined,No Change,221122,Electric Power Distribution 
160,221122,Electric Power Distribution ,4939,"Combination Utilities, Nec",No Change,221122,Electric Power Distribution 
161,221210,Natural Gas Distribution ,4923,Gas Transmission and Distribution,No Change,221210,Natural Gas Distribution 
162,221210,Natural Gas Distribution ,4924,Natural Gas Distribution,No Change,221210,Natural Gas Distribution 
163,221210,Natural Gas Distribution ,4925,Gas Production and/or Distribution,No Change,221210,Natural Gas Distribution 
164,221210,Natural Gas Distribution ,4931,Electric and Other Services Combined,No Change,221210,Natural Gas Distribution 
165,221210,Natural Gas Distribution ,4932,Gas and Other Services Combined,No Change,221210,Natural Gas Distribution 
166,221210,Natural Gas Distribution ,4939,"Combination Utilities, Nec",No Change,221210,Natural Gas Distribution 
167,221310,Water Supply and Irrigation Systems ,4941,Water Supply,No Change,221310,Water Supply and Irrigation Systems 
168,221310,Water Supply and Irrigation Systems ,4971,Irrigation Systems,No Change,221310,Water Supply and Irrigation Systems 
169,221320,Sewage Treatment Facilities ,4952,Sewerage Systems,No Change,221320,Sewage Treatment Facilities 
170,221330,Steam and Air-Conditioning Supply ,4961,Steam and Air-conditioning Supply,No Change,221330,Steam and Air-Conditioning Supply 
171,236115,New Single-Family Housing Construction (except For-Sale Builders) ,1521,Single-family Housing Construction,No Change,236115,New Single-Family Housing Construction (except For-Sale Builders) 
172,236115,New Single-Family Housing Construction (except For-Sale Builders) ,8741,Management Services,No Change,236115,New Single-Family Housing Construction (except For-Sale Builders) 
173,236116,New Multifamily Housing Construction (except For-Sale Builders) ,1522,"Residential Construction, Nec",No Change,236116,New Multifamily Housing Construction (except For-Sale Builders) 
174,236116,New Multifamily Housing Construction (except For-Sale Builders) ,8741,Management Services,No Change,236116,New Multifamily Housing Construction (except For-Sale Builders) 
175,236117,New Housing For-Sale Builders ,1531,Operative Builders,No Change,236117,New Housing For-Sale Builders 
176,236118,Residential Remodelers ,1521,Single-family Housing Construction,No Change,236118,Residential Remodelers 
177,236118,Residential Remodelers ,1522,"Residential Construction, Nec",No Change,236118,Residential Remodelers 
178,236118,Residential Remodelers ,1531,Operative Builders,No Change,236118,Residential Remodelers 
179,236118,Residential Remodelers ,8741,Management Services,No Change,236118,Residential Remodelers 
180,236210,Industrial Building Construction ,1531,Operative Builders,No Change,236210,Industrial Building Construction 
181,236210,Industrial Building Construction ,1541,Industrial Buildings and Warehouses,No Change,236210,Industrial Building Construction 
182,236210,Industrial Building Construction ,1629,"Heavy Construction, Nec",No Change,236210,Industrial Building Construction 
183,236210,Industrial Building Construction ,8741,Management Services,No Change,236210,Industrial Building Construction 
184,236220,Commercial and Institutional Building Construction ,1522,"Residential Construction, Nec",No Change,236220,Commercial and Institutional Building Construction 
185,236220,Commercial and Institutional Building Construction ,1531,Operative Builders,No Change,236220,Commercial and Institutional Building Construction 
186,236220,Commercial and Institutional Building Construction ,1541,Industrial Buildings and Warehouses,No Change,236220,Commercial and Institutional Building Construction 
187,236220,Commercial and Institutional Building Construction ,1542,"Nonresidential Construction, Nec",No Change,236220,Commercial and Institutional Building Construction 
188,236220,Commercial and Institutional Building Construction ,1799,"Special Trade Contractors, Nec",No Change,236220,Commercial and Institutional Building Construction 
189,236220,Commercial and Institutional Building Construction ,8741,Management Services,No Change,236220,Commercial and Institutional Building Construction 
190,237110,Water and Sewer Line and Related Structures Construction ,1623,"Water, Sewer, and Utility Lines",No Change,237110,Water and Sewer Line and Related Structures Construction 
191,237110,Water and Sewer Line and Related Structures Construction ,1629,"Heavy Construction, Nec",No Change,237110,Water and Sewer Line and Related Structures Construction 
192,237110,Water and Sewer Line and Related Structures Construction ,1781,Water Well Drilling,No Change,237110,Water and Sewer Line and Related Structures Construction 
193,237110,Water and Sewer Line and Related Structures Construction ,8741,Management Services,No Change,237110,Water and Sewer Line and Related Structures Construction 
194,237120,Oil and Gas Pipeline and Related Structures Construction ,1389,"Oil and Gas Field Services, Nec",No Change,237120,Oil and Gas Pipeline and Related Structures Construction 
195,237120,Oil and Gas Pipeline and Related Structures Construction ,1623,"Water, Sewer, and Utility Lines",No Change,237120,Oil and Gas Pipeline and Related Structures Construction 
196,237120,Oil and Gas Pipeline and Related Structures Construction ,1629,"Heavy Construction, Nec",No Change,237120,Oil and Gas Pipeline and Related Structures Construction 
197,237120,Oil and Gas Pipeline and Related Structures Construction ,8741,Management Services,No Change,237120,Oil and Gas Pipeline and Related Structures Construction 
198,237130,Power and Communication Line and Related Structures Construction ,1623,"Water, Sewer, and Utility Lines",No Change,237130,Power and Communication Line and Related Structures Construction 
199,237130,Power and Communication Line and Related Structures Construction ,1629,"Heavy Construction, Nec",No Change,237130,Power and Communication Line and Related Structures Construction 
200,237130,Power and Communication Line and Related Structures Construction ,8741,Management Services,No Change,237130,Power and Communication Line and Related Structures Construction 
201,237210,Land Subdivision ,6552,"Subdividers and Developers, Nec",No Change,237210,Land Subdivision 
202,237310,"Highway, Street, and Bridge Construction ",1611,Highway and Street Construction,No Change,237310,"Highway, Street, and Bridge Construction "
203,237310,"Highway, Street, and Bridge Construction ",1622,"Bridge, Tunnel, and Elevated Highway",No Change,237310,"Highway, Street, and Bridge Construction "
204,237310,"Highway, Street, and Bridge Construction ",1721,Painting and Paper Hanging,No Change,237310,"Highway, Street, and Bridge Construction "
205,237310,"Highway, Street, and Bridge Construction ",8741,Management Services,No Change,237310,"Highway, Street, and Bridge Construction "
206,237990,Other Heavy and Civil Engineering Construction ,1622,"Bridge, Tunnel, and Elevated Highway",No Change,237990,Other Heavy and Civil Engineering Construction 
207,237990,Other Heavy and Civil Engineering Construction ,1629,"Heavy Construction, Nec",No Change,237990,Other Heavy and Civil Engineering Construction 
208,237990,Other Heavy and Civil Engineering Construction ,1799,"Special Trade Contractors, Nec",No Change,237990,Other Heavy and Civil Engineering Construction 
209,237990,Other Heavy and Civil Engineering Construction ,8741,Management Services,No Change,237990,Other Heavy and Civil Engineering Construction 
210,238110,Poured Concrete Foundation and Structure Contractors ,1771,Concrete Work,No Change,238110,Poured Concrete Foundation and Structure Contractors 
211,238120,Structural Steel and Precast Concrete Contractors ,1791,Structural Steel Erection,No Change,238120,Structural Steel and Precast Concrete Contractors 
212,238130,Framing Contractors ,1751,Carpentry Work,No Change,238130,Framing Contractors 
213,238140,Masonry Contractors ,1741,Masonry and Other Stonework,No Change,238140,Masonry Contractors 
214,238140,Masonry Contractors ,1771,Concrete Work,No Change,238140,Masonry Contractors 
215,238150,Glass and Glazing Contractors ,1793,Glass and Glazing Work,No Change,238150,Glass and Glazing Contractors 
216,238150,Glass and Glazing Contractors ,1799,"Special Trade Contractors, Nec",No Change,238150,Glass and Glazing Contractors 
217,238160,Roofing Contractors ,1761,"Roofing, Siding, and Sheetmetal Work",No Change,238160,Roofing Contractors 
218,238170,Siding Contractors ,1761,"Roofing, Siding, and Sheetmetal Work",No Change,238170,Siding Contractors 
219,238190,"Other Foundation, Structure, and Building Exterior Contractors ",1791,Structural Steel Erection,No Change,238190,"Other Foundation, Structure, and Building Exterior Contractors "
220,238190,"Other Foundation, Structure, and Building Exterior Contractors ",1799,"Special Trade Contractors, Nec",No Change,238190,"Other Foundation, Structure, and Building Exterior Contractors "
221,238210,Electrical Contractors and Other Wiring Installation Contractors,1711,"Plumbing, Heating, Air-conditioning",No Change,238210,Electrical Contractors and Other Wiring Installation Contractors
222,238210,Electrical Contractors and Other Wiring Installation Contractors,1731,Electrical Work,No Change,238210,Electrical Contractors and Other Wiring Installation Contractors
223,238220,"Plumbing, Heating, and Air-Conditioning Contractors ",1711,"Plumbing, Heating, Air-conditioning",No Change,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
224,238220,"Plumbing, Heating, and Air-Conditioning Contractors ",1791,Structural Steel Erection,No Change,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
225,238220,"Plumbing, Heating, and Air-Conditioning Contractors ",1796,Installing Building Equipment,No Change,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
226,238220,"Plumbing, Heating, and Air-Conditioning Contractors ",7699,"Repair Services, Nec",No Change,238220,"Plumbing, Heating, and Air-Conditioning Contractors "
227,238290,Other Building Equipment Contractors ,1796,Installing Building Equipment,No Change,238290,Other Building Equipment Contractors 
228,238290,Other Building Equipment Contractors ,1799,"Special Trade Contractors, Nec",No Change,238290,Other Building Equipment Contractors 
229,238290,Other Building Equipment Contractors ,7622,Radio and Television Repair,No Change,238290,Other Building Equipment Contractors 
230,238310,Drywall and Insulation Contractors ,1742,"Plastering, Drywall, and Insulation",No Change,238310,Drywall and Insulation Contractors 
231,238310,Drywall and Insulation Contractors ,1743,"Terrazzo, Tile, Marble, Mosaic Work",No Change,238310,Drywall and Insulation Contractors 
232,238310,Drywall and Insulation Contractors ,1752,"Floor Laying and Floor Work, Nec",No Change,238310,Drywall and Insulation Contractors 
233,238310,Drywall and Insulation Contractors ,1791,Structural Steel Erection,No Change,238310,Drywall and Insulation Contractors 
234,238310,Drywall and Insulation Contractors ,1799,"Special Trade Contractors, Nec",No Change,238310,Drywall and Insulation Contractors 
235,238320,Painting and Wall Covering Contractors,1721,Painting and Paper Hanging,No Change,238320,Painting and Wall Covering Contractors
236,238320,Painting and Wall Covering Contractors,1799,"Special Trade Contractors, Nec",No Change,238320,Painting and Wall Covering Contractors
237,238330,Flooring Contractors,1752,"Floor Laying and Floor Work, Nec",No Change,238330,Flooring Contractors
238,238340,Tile and Terrazzo Contractors,1743,"Terrazzo, Tile, Marble, Mosaic Work",No Change,238340,Tile and Terrazzo Contractors
239,238350,Finish Carpentry Contractors,1751,Carpentry Work,No Change,238350,Finish Carpentry Contractors
240,238350,Finish Carpentry Contractors,1799,"Special Trade Contractors, Nec",No Change,238350,Finish Carpentry Contractors
241,238390,Other Building Finishing Contractors,1761,"Roofing, Siding, and Sheetmetal Work",No Change,238390,Other Building Finishing Contractors
